17/03/28 14:22:41 INFO mapred.JobClient: Running job: job_201703271802_0002
17/03/28 14:22:42 INFO mapred.JobClient:  map 99% reduce 0%
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 9 SimplePageRankComputation (ms)=122118
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 29 SimplePageRankComputation (ms)=126097
17/03/28 15:29:32 INFO mapred.JobClient:     Input superstep (ms)=98630
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 13 SimplePageRankComputation (ms)=121973
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 1 SimplePageRankComputation (ms)=115101
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 21 SimplePageRankComputation (ms)=129807
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 17 SimplePageRankComputation (ms)=125328
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 26 SimplePageRankComputation (ms)=124914
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 6 SimplePageRankComputation (ms)=114713
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 10 SimplePageRankComputation (ms)=119982
17/03/28 15:29:32 INFO mapred.JobClient:     Shutdown (ms)=155425
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 14 SimplePageRankComputation (ms)=121538
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 22 SimplePageRankComputation (ms)=132356
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 2 SimplePageRankComputation (ms)=114179
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 18 SimplePageRankComputation (ms)=137798
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 3 SimplePageRankComputation (ms)=113946
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 23 SimplePageRankComputation (ms)=123950
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 11 SimplePageRankComputation (ms)=116766
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 7 SimplePageRankComputation (ms)=112838
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 27 SimplePageRankComputation (ms)=123708
17/03/28 15:29:32 INFO mapred.JobClient:     Setup (ms)=124
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 15 SimplePageRankComputation (ms)=127253
17/03/28 15:29:32 INFO mapred.JobClient:     Total (ms)=4016287
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 19 SimplePageRankComputation (ms)=125926
17/03/28 15:29:32 INFO mapred.JobClient:   File Input Format Counters 
17/03/28 15:29:32 INFO mapred.JobClient:     Bytes Read=0
17/03/28 15:29:32 INFO mapred.JobClient:   Zookeeper base path
17/03/28 15:29:32 INFO mapred.JobClient:     /_hadoopBsp/job_201703271802_0002=0
17/03/28 15:29:32 INFO mapred.JobClient:   Giraph Stats
17/03/28 15:29:32 INFO mapred.JobClient:     Aggregate bytes stored to local disks (out-of-core)=0
17/03/28 15:29:32 INFO mapred.JobClient:     Aggregate finished vertices=131814559
17/03/28 15:29:32 INFO mapred.JobClient:     Aggregate edges=5507679822
17/03/28 15:29:32 INFO mapred.JobClient:     Current master task partition=0
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep=31
17/03/28 15:29:32 INFO mapred.JobClient:     Aggregate sent message bytes=2648439741417
17/03/28 15:29:32 INFO mapred.JobClient:     Aggregate vertices=131814559
17/03/28 15:29:32 INFO mapred.JobClient:     Aggregate bytes loaded from local disks (out-of-core)=0
17/03/28 15:29:32 INFO mapred.JobClient:     Sent messages=0
17/03/28 15:29:32 INFO mapred.JobClient:     Sent message bytes=0
17/03/28 15:29:32 INFO mapred.JobClient:     Current workers=100
17/03/28 15:29:32 INFO mapred.JobClient:     Last checkpointed superstep=0
17/03/28 15:29:32 INFO mapred.JobClient:     Aggregate sent messages=165230394660
17/03/28 15:29:32 INFO mapred.JobClient:     Lowest percentage of graph in memory so far (out-of-core)=100
17/03/28 15:29:32 INFO mapred.JobClient:   FileSystemCounters
17/03/28 15:29:32 INFO mapred.JobClient:     HDFS_BYTES_READ=74725054968
17/03/28 15:29:32 INFO mapred.JobClient:     FILE_BYTES_WRITTEN=6230681
17/03/28 15:29:32 INFO mapred.JobClient:     HDFS_BYTES_WRITTEN=4056054980
17/03/28 15:29:32 INFO mapred.JobClient:   Job Counters 
17/03/28 15:29:32 INFO mapred.JobClient:     Launched map tasks=101
17/03/28 15:29:32 INFO mapred.JobClient:     SLOTS_MILLIS_REDUCES=0
17/03/28 15:29:32 INFO mapred.JobClient:     Total time spent by all reduces waiting after reserving slots (ms)=0
17/03/28 15:29:32 INFO mapred.JobClient:     SLOTS_MILLIS_MAPS=404113048
17/03/28 15:29:32 INFO mapred.JobClient:     Total time spent by all maps waiting after reserving slots (ms)=0
17/03/28 15:29:32 INFO mapred.JobClient:   File Output Format Counters 
17/03/28 15:29:32 INFO mapred.JobClient:     Bytes Written=0

